Time;V ph.angle phase A;V ph.angle phase B;V ph.angle phase C
2019-03-19T01:05:50+01:00;2.013529;-0.077674;-0.257678
2019-03-19T01:05:51+01:00;0.14785;-1.945613;1.545485
2019-03-19T01:05:54+01:00;-0.247729;-2.340005;2.981482
2019-03-19T01:05:55+01:00;-1.707067;2.483747;3.06667
2019-03-19T01:05:56+01:00;2.710885;0.619449;2.33481
2019-03-19T01:05:57+01:00;1.335599;-0.7566;0.910953
2019-03-19T01:05:58+01:00;-0.436537;-2.53064;-2.719295
2019-03-19T01:06:00+01:00;0.705993;-1.387871;0.336483
2019-03-19T01:06:01+01:00;-1.458284;2.732758;1.522411
2019-03-19T01:06:02+01:00;2.941581;0.84845;3.01852
2019-03-19T01:06:03+01:00;0.982106;-1.110093;-0.791011
2019-03-19T01:06:04+01:00;-2.395915;1.793933;-3.132787
2019-03-19T01:06:07+01:00;-2.987015;1.204757;2.945086
2019-03-19T01:06:08+01:00;1.061031;-1.03049;-2.379167
2019-03-19T01:06:11+01:00;-0.984179;-3.076841;-3.090377
2019-03-19T01:06:12+01:00;-2.59408;1.599257;-2.916468
2019-03-19T01:06:13+01:00;2.121104;0.029964;null
2019-03-19T01:06:14+01:00;0.204149;-1.890041;0.831601
2019-03-19T01:06:15+01:00;-1.334021;2.859568;-1.196382
2019-03-19T01:06:17+01:00;-0.358735;-2.453404;-1.658898
2019-03-19T01:06:18+01:00;-2.288069;1.903225;0.416708
2019-03-19T01:06:19+01:00;2.458517;0.36771;1.952146
2019-03-19T01:06:20+01:00;0.530498;-1.563122;-2.438821
2019-03-19T01:06:21+01:00;-1.034318;-3.125809;0.624422
2019-03-19T01:06:24+01:00;-2.023805;2.166589;1.807835
2019-03-19T01:06:25+01:00;2.747701;0.657016;1.706222
2019-03-19T01:06:26+01:00;null;-1.322603;-0.795647
2019-03-19T01:06:27+01:00;-0.663002;-2.755977;0.729216
2019-03-19T01:06:28+01:00;0.026706;-2.065615;-1.143149
2019-03-19T01:06:31+01:00;-0.70455;-2.79865;1.890445
2019-03-19T01:06:32+01:00;-2.206805;1.984206;0.105269
2019-03-19T01:06:37+01:00;0.485415;-1.609387;-0.771061
2019-03-19T01:06:38+01:00;-1.0438;-3.13509;-2.658998
2019-03-19T01:06:41+01:00;-0.937662;-3.031576;0.701723
2019-03-19T01:06:42+01:00;-2.764496;1.427239;2.871086
2019-03-19T01:06:43+01:00;2.013253;-0.077707;-1.621226
2019-03-19T01:06:44+01:00;0.458285;-1.635341;-1.046901
2019-03-19T01:06:45+01:00;-1.453862;2.73674;-1.880234
2019-03-19T01:06:48+01:00;-1.794313;2.397205;1.227017
2019-03-19T01:06:49+01:00;3.114355;1.021017;0.375043
2019-03-19T01:06:54+01:00;2.872501;0.777987;1.003784
2019-03-19T01:06:55+01:00;1.415131;-0.677289;-1.470229
2019-03-19T01:06:56+01:00;0.007592;-2.085258;null
2019-03-19T01:06:58+01:00;1.900856;-0.190119;-0.783053
2019-03-19T01:06:59+01:00;0.457965;-1.636063;-3.087797
2019-03-19T01:07:00+01:00;-1.348647;2.842814;3.081976
2019-03-19T01:07:01+01:00;3.137756;1.044512;-0.931145
2019-03-19T01:07:02+01:00;1.345739;-0.746214;-0.651311
2019-03-19T01:07:04+01:00;null;null;2.202004
2019-03-19T01:07:05+01:00;0.655253;-1.439078;-1.512258
2019-03-19T01:07:06+01:00;-0.764715;-2.857687;-2.704032
2019-03-19T01:07:07+01:00;-2.037305;2.154153;-3.005613
2019-03-19T01:07:08+01:00;2.151902;0.059744;2.156829
2019-03-19T01:07:11+01:00;1.775579;-0.31581;0.743162
2019-03-19T01:07:12+01:00;0.241998;-1.851141;0.48873
2019-03-19T01:07:13+01:00;-1.609091;2.581692;-0.082207
2019-03-19T01:07:18+01:00;0.992476;-1.100166;1.09109
2019-03-19T01:07:19+01:00;-0.922114;-3.014415;2.790645
2019-03-19T01:07:24+01:00;-2.375724;1.815104;0.604246
2019-03-19T01:07:25+01:00;2.353688;0.263246;3.037981
2019-03-19T01:07:26+01:00;0.804717;-1.288026;0.94565
2019-03-19T01:07:28+01:00;2.213641;0.123636;-2.169992
2019-03-19T01:07:29+01:00;0.664342;-1.429803;1.03634
2019-03-19T01:07:30+01:00;-0.84963;-2.943987;-0.689403
2019-03-19T01:07:35+01:00;1.560115;-0.532558;1.849322
2019-03-19T01:07:36+01:00;0.047058;-2.046112;-0.943113
2019-03-19T01:07:41+01:00;-0.073512;-2.165696;0.163723
2019-03-19T01:07:42+01:00;-1.94218;2.248099;1.22588
2019-03-19T01:07:43+01:00;0.827504;-1.264894;-0.129012
2019-03-19T01:07:45+01:00;2.09414;0.002882;2.144403
