Time;I ph.angle phase A;I ph.angle phase B;I ph.angle phase C
2019-03-19T01:09:03+01:00;2.221414;0.217513;2.681642
2019-03-19T01:09:04+01:00;0.53089;-1.558846;1.048348
2019-03-19T01:09:09+01:00;3.104116;0.878579;-2.731708
2019-03-19T01:09:10+01:00;1.462105;-0.498369;1.981868
2019-03-19T01:09:11+01:00;-0.473766;-2.513633;null
2019-03-19T01:09:13+01:00;0.355069;-1.705086;0.875386
2019-03-19T01:09:14+01:00;-1.365992;3.053992;-0.863285
2019-03-19T01:09:15+01:00;-2.852956;1.532469;-2.335556
2019-03-19T01:09:18+01:00;-0.810468;-2.655289;-0.288738
2019-03-19T01:09:19+01:00;-2.371151;1.80006;-1.952903
2019-03-19T01:09:26+01:00;-2.484273;1.768504;-1.926567
2019-03-19T01:09:27+01:00;1.912827;0.028926;2.472235
2019-03-19T01:09:28+01:00;0.040915;-1.929786;0.535497
2019-03-19T01:09:35+01:00;1.505717;-0.468554;1.959716
2019-03-19T01:09:36+01:00;-0.117278;-2.220136;0.259385
2019-03-19T01:09:42+01:00;-0.112782;-2.059297;0.434846
2019-03-19T01:09:43+01:00;-2.034638;2.248791;-1.630791
2019-03-19T01:09:46+01:00;-2.357896;1.927502;-1.736362
2019-03-19T01:09:47+01:00;2.758108;0.600001;-3.02319
2019-03-19T01:09:52+01:00;-2.60678;1.696759;-2.158571
2019-03-19T01:09:53+01:00;2.497623;0.317846;2.767244
2019-03-19T01:09:54+01:00;0.781303;-1.387919;null
2019-03-19T01:09:59+01:00;-2.801862;1.247585;-2.398042
2019-03-19T01:10:00+01:00;2.150979;0.197486;2.595008
2019-03-19T01:10:05+01:00;-0.937657;-2.921693;-0.311775
2019-03-19T01:10:06+01:00;-2.55879;1.410637;-2.121186
2019-03-19T01:10:09+01:00;-2.498046;1.911342;-1.974751
2019-03-19T01:10:10+01:00;2.400887;0.34811;2.973271
2019-03-19T01:10:11+01:00;1.166636;-1.033085;1.560287
2019-03-19T01:10:16+01:00;-1.50139;2.766824;-1.11171
2019-03-19T01:10:17+01:00;-2.652276;1.529817;-2.231137
2019-03-19T01:10:22+01:00;-0.261508;-2.503048;0.19355
