Time;Freq phase A;Freq phase B
2019-03-19T01:17:52+01:00;50.013988;50.01392
2019-03-19T01:17:55+01:00;50.016464;50.017185
2019-03-19T01:17:56+01:00;50.015717;50.014664
2019-03-19T01:18:01+01:00;50.0149;50.015068
2019-03-19T01:18:02+01:00;50.014786;50.014793
2019-03-19T01:18:03+01:00;50.01313;50.012909
2019-03-19T01:18:06+01:00;50.011482;50.010994
2019-03-19T01:18:07+01:00;50.008926;50.009151
2019-03-19T01:18:08+01:00;50.007626;50.006798
2019-03-19T01:18:09+01:00;50.006004;50.00507
2019-03-19T01:18:12+01:00;50.003544;50.003353
2019-03-19T01:18:13+01:00;50.000496;49.999992
2019-03-19T01:18:19+01:00;49.991737;49.99297
2019-03-19T01:18:20+01:00;49.989391;49.989288
2019-03-19T01:18:25+01:00;49.99279;49.993385
2019-03-19T01:18:26+01:00;49.993961;49.994198
2019-03-19T01:18:29+01:00;49.99826;49.998585
2019-03-19T01:18:30+01:00;49.999302;49.999363
2019-03-19T01:18:31+01:00;49.999573;49.999088
2019-03-19T01:18:32+01:00;49.99955;49.999126
2019-03-19T01:18:33+01:00;49.998936;49.999001
2019-03-19T01:18:36+01:00;49.997765;49.997478
2019-03-19T01:18:37+01:00;49.997929;49.996849
2019-03-19T01:18:38+01:00;49.994949;49.995033
2019-03-19T01:18:39+01:00;49.993916;49.994415
2019-03-19T01:18:42+01:00;50.000038;49.999546
2019-03-19T01:18:43+01:00;50.001049;50.001659
